classifier_name,dataset_name,ari
BOOMC,1,0.34
BOOMC,2,0.56
BOOMC,3,0.27
BOOMC,4,0.49
BOOMC,5,0.1
BOOMC,6,0
BOOMC,7,0.17
BOOMC,8,0.32
BOOMC,9,0.79
BOOMC,10,0.42
BOOMC,11,0.31
BOOMC,12,0.47
BOOMC,13,0.7
BOOMC,14,0.3
BOOMC,15,0.65
BOOMC,16,0.28
RAOMS,1,0.34
RAOMS,2,0.26
RAOMS,3,0.21
RAOMS,4,0.48
RAOMS,5,0.07
RAOMS,6,0
RAOMS,7,0.23
RAOMS,8,0.28
RAOMS,9,0.8
RAOMS,10,0.46
RAOMS,11,0.31
RAOMS,12,0.46
RAOMS,13,0.7
RAOMS,14,0.3
RAOMS,15,0.64
RAOMS,16,0.28
OGS,1,0.22
OGS,2,-0.01
OGS,3,0.02
OGS,4,0.02
OGS,5,-0.01
OGS,6,0
OGS,7,0
OGS,8,0
OGS,9,0.79
OGS,10,0.42
OGS,11,0
OGS,12,0.25
OGS,13,0.68
OGS,14,0.3
OGS,15,0.63
OGS,16,0.24
OSS,1,0.3
OSS,2,0.06
OSS,3,0.03
OSS,4,0.33
OSS,5,0.06
OSS,6,0
OSS,7,0.21
OSS,8,0
OSS,9,0.19
OSS,10,0.42
OSS,11,0
OSS,12,0.41
OSS,13,0.69
OSS,14,0.28
OSS,15,0.63
OSS,16,0.28
OSC,1,0.3
OSC,2,0.06
OSC,3,0.03
OSC,4,0.33
OSC,5,0.06
OSC,6,0
OSC,7,0.21
OSC,8,0
OSC,9,0.19
OSC,10,0.42
OSC,11,0
OSC,12,0.41
OSC,13,0.69
OSC,14,0.28
OSC,15,0.65
OSC,16,0.26
3WD_HD,1,0.33
3WD_HD,2,0.06
3WD_HD,3,0.09
3WD_HD,4,0.27
3WD_HD,5,0.06
3WD_HD,6,0
3WD_HD,7,0.18
3WD_HD,8,0
3WD_HD,9,0.13
3WD_HD,10,0.42
3WD_HD,11,0
3WD_HD,12,0.38
3WD_HD,13,0.69
3WD_HD,14,0.28
3WD_HD,15,0.63
3WD_HD,16,0.27
MSCRS,1,0.33
MSCRS,2,0.16
MSCRS,3,-0.01
MSCRS,4,0.49
MSCRS,5,0.03
MSCRS,6,0.01
MSCRS,7,0.14
MSCRS,8,0
MSCRS,9,0.79
MSCRS,10,0.4
MSCRS,11,0
MSCRS,12,0.44
MSCRS,13,0.67
MSCRS,14,0.3
MSCRS,15,0.64
MSCRS,16,0.23
